GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
weather-app,com.springbootapp.weatherapp.service.serviceimpl,AemetServiceImpl,187,85,9,1,30,11,10,3,5,3
weather-app,com.springbootapp.weatherapp.model.mapper,ReportMapper,0,7,0,0,0,2,0,2,0,2
weather-app,com.springbootapp.weatherapp.model.mapper,ReportMapperImpl,5,71,3,5,3,15,3,5,0,4
weather-app,com.springbootapp.weatherapp.model,Municipality,101,14,22,0,1,2,16,4,5,4
weather-app,com.springbootapp.weatherapp.model,WData,75,0,14,0,2,0,14,0,7,0
weather-app,com.springbootapp.weatherapp.model,WReport,75,0,14,0,2,0,14,0,7,0
weather-app,com.springbootapp.weatherapp.model,Temperature,98,17,22,0,0,3,15,5,4,5
weather-app,com.springbootapp.weatherapp.model,ProbPrecipitation,104,11,22,0,2,1,17,3,6,3
weather-app,com.springbootapp.weatherapp.model,DayData,131,24,30,0,0,4,19,7,4,7
weather-app,com.springbootapp.weatherapp.model,Prediction,75,0,14,0,2,0,14,0,7,0
weather-app,com.springbootapp.weatherapp,WeatherAppApplication,5,3,0,0,2,1,1,1,1,1
weather-app,com.springbootapp.weatherapp.exception,GlobalExceptionHandler,27,3,0,0,6,1,3,1,3,1
weather-app,com.springbootapp.weatherapp.enums,TemperatureEnum,32,0,0,0,6,0,4,0,4,0
weather-app,com.springbootapp.weatherapp.service.webfilter,CustomFilter,99,13,8,0,26,3,10,1,6,1
weather-app,com.springbootapp.weatherapp.controller,AuthController,13,3,2,0,4,1,2,1,1,1
weather-app,com.springbootapp.weatherapp.controller,ForecastController,89,0,6,0,18,0,8,0,5,0
weather-app,com.springbootapp.weatherapp.controller,AemetController,53,3,8,0,16,1,8,1,4,1
weather-app,com.springbootapp.weatherapp.model.dto,TemperatureDTO,98,17,22,0,0,3,15,5,4,5
weather-app,com.springbootapp.weatherapp.model.dto,ForecastDTO,164,31,38,0,0,5,23,9,4,9
weather-app,com.springbootapp.weatherapp.model.entity,TemperatureEntity,152,3,30,0,4,1,25,1,10,1
weather-app,com.springbootapp.weatherapp.model.entity,ProbPrecipitationEntity,28,3,0,0,5,1,8,1,8,1
weather-app,com.springbootapp.weatherapp.model.entity,MunicipalityEntity,20,3,0,0,6,1,5,1,5,1
weather-app,com.springbootapp.weatherapp.model.entity,ForecastEntity,35,3,0,0,6,1,10,1,10,1
weather-app,com.springbootapp.weatherapp.interceptor,JwtInterceptor,35,6,6,0,11,3,6,1,3,1
weather-app,com.springbootapp.weatherapp.service.component,JwtTokenUtil,155,64,29,3,14,5,25,6,9,6
weather-app,com.springbootapp.weatherapp.service.component,HazelCastUtil,76,46,20,2,0,5,16,5,5,5
weather-app,com.springbootapp.weatherapp.config,RestTemplateConfig,0,32,0,0,0,9,0,2,0,2
weather-app,com.springbootapp.weatherapp.config,OpenAPISecurityConfiguration,0,32,0,0,0,11,0,2,0,2
weather-app,com.springbootapp.weatherapp.config,HazelCastConfig,0,46,0,0,0,13,0,2,0,2
weather-app,com.springbootapp.weatherapp.config,WebMvcConfig,0,39,0,0,0,8,0,2,0,2
weather-app,com.springbootapp.weatherapp.config,CustomWebSecurityConfigurerAdapter,0,31,0,0,0,7,0,3,0,3
